"filename", "language", "YAML", "Dart", "XML", "comment", "blank", "total"
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\utility\bluetooth\interface\i_bluetooth_printer_operation.dart", "Dart", 0, 15, 0, 0, 5, 20
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\utility\bluetooth\state\bluetooth_connection_state.dart", "Dart", 0, 17, 0, 0, 4, 21
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\utility\constants\project_images.dart", "Dart", 0, -1, 0, 0, 0, -1
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\utility\constants\project_strings.dart", "Dart", 0, 9, 0, 0, 0, 9
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\utility\constants\project_values.dart", "Dart", 0, 1, 0, 0, 0, 1
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\utility\permission_handler\interface\product_permission_operation.dart", "Dart", 0, 5, 0, 0, 1, 6
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\utility\permission_handler\product_permission_handler.dart", "Dart", 0, 31, 0, 0, 4, 35
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\utility\validators\validator_items.dart", "Dart", 0, 5, 0, 0, 1, 6
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\widget\bottom_sheet\base\bottom_sheet_base.dart", "Dart", 0, 12, 0, 2, 3, 17
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\widget\bottom_sheet\bluetooth_bottom_sheet\view\bluetooth_bottom_sheet.dart", "Dart", 0, 66, 0, 1, 7, 74
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\widget\bottom_sheet\bluetooth_bottom_sheet\view\mixin\bluetooth_bottom_sheet_mixin.dart", "Dart", 0, 18, 0, 0, 6, 24
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\widget\bottom_sheet\bluetooth_bottom_sheet\view\widget\bluetooth_devices_listview.dart", "Dart", 0, 19, 0, 0, 4, 23
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\widget\bottom_sheet\bluetooth_bottom_sheet\view_model\bluetooth_bottom_sheet_view_model.dart", "Dart", 0, 44, 0, 1, 9, 54
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\widget\bottom_sheet\bluetooth_bottom_sheet\view_model\state\bluetooth_bottom_sheet_base_state.dart", "Dart", 0, 8, 0, 0, 2, 10
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\widget\bottom_sheet\bluetooth_bottom_sheet\view_model\state\bluetooth_bottom_sheet_state.dart", "Dart", 0, 22, 0, 0, 4, 26
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\widget\product_listview.dart\base_summary_listview_model.dart", "Dart", 0, 3, 0, 0, 1, 4
"d:\WORK\code\flutter\vibe\flutter_vss\lib\product\widget\product_listview.dart\product_summary_separated.dart", "Dart", 0, 37, 0, 0, 3, 40
"d:\WORK\code\flutter\vibe\flutter_vss\pubspec.yaml", "YAML", 1, 0, 0, 0, 0, 1
"Total", "-", 1, 764, 1, 56, 137, 959
